preco,categoria,tipo,valor_condominio,area,quartos,banheiros,vagas,detalhes_imovel,cep,cidade,bairro,rua,detalhes_condominio
550000.0,Apartamentos,Venda - apartamento padrão,618.0,120.0,3.0,0.0,1.0,,255721,Vitória,Praia do Canto,,
890000.0,Apartamentos,Venda - apartamento padrão,1000.0,110.0,3.0,3.0,1.0,Varanda,2554,Vitória,Praia do Canto,Rua Joaquim Lírio,
200000.0,Apartamentos,Venda - apartamento padrão,165.0,40.0,1.0,1.0,0.0,,27,Vitória,Jardim da Penha,Praça Philogomiro Lannes,
334900.0,Apartamentos,Venda - apartamento padrão,0.0,57.0,2.0,2.0,1.0,"Área de serviço, Churrasqueira, Varanda, Academia, Piscina",25,Vitória,Jardim Camburi,Avenida Augusto Emílio Estelita Lins,
580000.0,Apartamentos,Venda - apartamento padrão,550.0,90.0,3.0,3.0,2.0,,25,Vitória,Enseada do Suá,Rua Professor Belmiro Siqueira,
2200000.0,Apartamentos,Venda - apartamento padrão,980.0,179.0,4.0,4.0,3.0,,2554,Vitória,Praia do Canto,Alameda Doutor Carlito Von Schilgen,
995000.0,Apartamentos,Venda - apartamento padrão,0.0,110.0,3.0,3.0,2.0,"Academia, Varanda, Área de serviço, Piscina",26,Vitória,Mata da Praia,Avenida Comandante Álvaro Martins,
180000.0,Apartamentos,Venda - apartamento kitchenette,400.0,40.0,1.0,1.0,1.0,"Ar condicionado, Armários embutidos, Varanda, Armários na cozinha, Mobiliado",2535,Vitória,Enseada do Suá,Rua Abiail do Amaral Carneiro,"Elevador, Salão de festas"
680000.0,Apartamentos,Venda - apartamento padrão,650.0,96.0,3.0,0.0,2.0,"Churrasqueira, Piscina",2225,Vitória,Enseada do Suá,Rua Humberto Martins de Paula,
499000.0,Casas,Venda - casa em rua pública,0.0,0.0,3.0,4.0,2.0,"Varanda, Área de serviço, Quarto de serviço",2455,Vitória,Jucutuquara,,"Segurança 24h, Área murada, Permitido animais, Portão eletrônico"
627845.0,Apartamentos,Venda - apartamento padrão,0.0,91.0,0.0,0.0,0.0,,23,Vitória,Jardim Camburi,Rua Dora Vivacqua,
1257200.0,Apartamentos,Venda - apartamento padrão,0.0,0.0,4.0,0.0,3.0,,2664,Vitória,Mata da Praia,Avenida Dante Michelini,
35000.0,Apartamentos,Venda - apartamento kitchenette,200.0,12.0,0.0,1.0,0.0,,35,Vitória,Centro,Rua General Osório - lado ímpar,"Elevador, Segurança 24h, Portaria"
500000.0,Apartamentos,Venda - apartamento padrão,650.0,158.0,3.0,2.0,1.0,,2551,Vitória,Praia do Canto,,"Condomínio fechado, Segurança 24h, Portaria, Permitido animais"
150000.0,Casas,Venda - casa em rua pública,0.0,0.0,2.0,0.0,0.0,,224165,Vitória,Grande Vitória,Rua Nova Era,
590000.0,Casas,Venda - casa em rua pública,0.0,0.0,3.0,3.0,2.0,"Armários embutidos, Varanda, Área de serviço",2552,Vitória,Praia do Canto,,
409000.0,Apartamentos,Venda - apartamento padrão,0.0,98.0,4.0,3.0,0.0,,22,Vitória,Jardim Camburi,Rua Júlia Lacourt Penna,"Condomínio fechado, Elevador, Permitido animais, Salão de festas"
500000.0,Apartamentos,Venda - apartamento padrão,500.0,77.0,3.0,0.0,2.0,"Churrasqueira, Piscina",,Vitória,Jardim Camburi,Rua Gelu Vervloet dos Santos,
260000.0,Apartamentos,Venda - apartamento padrão,370.0,56.0,2.0,1.0,1.0,"Armários embutidos, Armários na cozinha, Varanda",21,Vitória,Jardim Camburi,Rua Milton Manoel dos Santos,"Elevador, Portaria, Salão de festas"
480000.0,Apartamentos,Venda - apartamento padrão,0.0,83.0,3.0,2.0,1.0,"Ar condicionado, Armários embutidos, Varanda, Área de serviço, Armários na cozinha",29,Vitória,Jardim Camburi,Avenida Governador Eurico Rezende,"Condomínio fechado, Elevador, Segurança 24h, Permitido animais, Piscina, Salão de festas"
250000.0,Apartamentos,Venda - apartamento padrão,280.0,60.0,2.0,1.0,1.0,"Armários embutidos, Varanda, Área de serviço, Churrasqueira, Armários na cozinha",23,Vitória,Jardim Camburi,Rua Florêncio Baptista,"Elevador, Segurança 24h, Portaria, Permitido animais, Salão de festas"
612000.0,Apartamentos,Venda - apartamento padrão,400.0,90.0,3.0,2.0,2.0,,,Vitória,Jardim Camburi,Rua Agenor Amaro dos Santos,"Elevador, Permitido animais, Piscina, Salão de festas"
360000.0,Apartamentos,Venda - apartamento padrão,380.0,0.0,2.0,2.0,0.0,,22,Vitória,Jardim Camburi,Rua Orlando Caliman,
589000.0,Casas,Venda - casa em rua pública,0.0,0.0,3.0,1.0,3.0,"Varanda, Área de serviço",,Vitória,Maria Ortiz,Rua Professora Maria José de Oliveira,
430000.0,Apartamentos,Venda - apartamento padrão,430.0,73.0,3.0,0.0,1.0,,2921,Vitória,Jardim Camburi,Rua Antiocho Carneiro de Mendonça,
750000.0,Apartamentos,Venda - apartamento padrão,550.0,110.0,3.0,0.0,1.0,Varanda,2235,Vitória,Jardim da Penha,Avenida Dante Michelini - lado ímpar,
250000.0,Apartamentos,Venda - apartamento padrão,0.0,90.0,3.0,2.0,1.0,"Armários embutidos, Área de serviço, Armários na cozinha",2523,Vitória,Praia do Suá,,Condomínio fechado
770000.0,Apartamentos,Venda - apartamento padrão,600.0,135.0,4.0,4.0,2.0,,21,Vitória,Jardim Camburi,Rua Milton Manoel dos Santos,"Elevador, Permitido animais, Piscina, Salão de festas"
