preco,valor_condominio,area,quartos,banheiros,vagas,cidade,bairro,tipo,churrasqueira,armarios_cozinha,varanda,piscina,salao,seguranca,portaria,elevador,academia
890000.0,700.0,125.0,3.0,1.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
601300.0,0.0,66.0,2.0,1.0,0.0,Vitória,Santa Luíza,apartamento,1,0,1,0,1,0,0,0,0
250000.0,280.0,38.0,1.0,0.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,1,1,1,0,0,0,0
140000.0,0.0,0.0,3.0,2.0,2.0,Vitória,São Pedro,casa_rua,0,0,0,0,0,0,0,0,0
433514.0,0.0,71.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
1236044.0,0.0,116.0,3.0,2.0,2.0,Vitória,Barro Vermelho,apartamento,1,0,1,1,1,0,0,0,0
806406.0,0.0,88.0,3.0,0.0,2.0,Vitória,Jardim da Penha,apartamento,0,0,1,1,0,0,0,0,0
730000.0,450.0,140.0,2.0,3.0,2.0,Vitória,Jardim Camburi,cobertura,0,1,1,1,1,0,0,1,0
259000.0,285.0,73.0,2.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
530000.0,0.0,77.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
1500000.0,850.0,151.0,4.0,4.0,3.0,Vitória,Praia do Canto,apartamento,1,0,1,1,1,0,0,0,0
1595000.0,1200.0,270.0,4.0,5.0,3.0,Vitória,Praia do Canto,apartamento,1,0,0,1,1,0,0,0,0
240000.0,250.0,80.0,3.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,0,0,1,1,1,0,0
4000000.0,0.0,0.0,5.0,5.0,3.0,Vitória,Ilha do Frade,casa_rua,1,1,1,1,0,1,0,0,0
400000.0,0.0,88.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,0,0,1,0
499000.0,0.0,0.0,3.0,2.0,2.0,Vitória,República,casa_rua,0,0,1,0,0,0,0,0,0
600000.0,900.0,149.0,4.0,3.0,2.0,Vitória,Santa Helena,apartamento,0,1,1,1,1,0,1,1,0
820000.0,0.0,130.0,3.0,2.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,0,0,0,0,0,0,0
239000.0,0.0,50.0,2.0,2.0,1.0,Vitória,Praia do Canto,apartamento,0,1,0,0,0,1,0,1,0
230000.0,0.0,0.0,1.0,1.0,1.0,Vitória,Jardim da Penha,apartamento,0,0,1,0,0,0,0,0,0
200000.0,0.0,0.0,3.0,2.0,2.0,Vitória,Praia do Canto,casa_rua,0,0,0,1,0,0,0,0,0
350000.0,270.0,66.0,3.0,2.0,1.0,Vitória,Jardim Camburi,apartamento,0,1,1,0,0,0,0,0,0
290000.0,380.0,70.0,2.0,2.0,1.0,Vitória,Centro,apartamento,1,1,1,1,0,0,0,0,0
